Clupea harengus
Dicentrarchus labrax
Limanda limanda
Platichthys flesus
Chelon auratus
Gasterosteus aculeatus
Ciliata mustela
Trachurus trachurus
Pleuronectes platessa
Belone belone
Merlangius merlangus
Alosa fallax
Trisopterus luscus
Atherina presbyter
Chelon labrosus
Neogobius melanostomus
Syngnatus acus
Salmo trutta
Anguilla anguilla
Myoxocephalus scorpius
Sprattus sprattus
Pollachius pollachius
Sardina pilchardus
Pomatoschistus minutus
Zoarces viviparus
Solea solea
Pholis gunnellus
Arnoglossus laterna
Scomber scombrus
Scophthalmus maximus
Agonus cataphractus
Gadus morhua
Taurulus bubalis
Trigla lucerna
Sparus aurata
Mullus surmuletus
Osmerus eperlanus
Ammodytes tobianus
Cyclopterus lumpus
Echiichthys vipera
Lampetra fluviatilis
Liparis liparis
Lipophrys pholis
Microstomus kitt
Pomatoschistus microps
Spinachia spinachia
Chelon ramada
